index,municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,ç
0,ACEGUA,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,Município,ibge,latitude,longitude,/Demografia/População/Estimativas Populacionais/Total 2010 (-),/Demografia/População/Estimativas Populacionais/Total 2011 (-),/Demografia/População/Estimativas Populacionais/Total 2012 (-),/Demografia/População/Estimativas Populacionais/Total 2013 (-),/Demografia/População/Estimativas Populacionais/Total 2014 (-),/Demografia/População/Estimativas Populacionais/Total 2015 (-),/Demografia/População/Estimativas Populacionais/Total 2016 (-),/Demografia/População/Estimativas Populacionais/Total 2017 (-),/Demografia/População/Estimativas Populacionais/Total 2018 (-),/Demografia/População/Estimativas Populacionais/Total 2019 (-),/Demografia/População/Estimativas Populacionais/Total 2020 (-),/Demografia/População/Estimativas Populacionais/Total 2021 (-)
1,AGUA SANTA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Aceguá,4300034,-31.860759999990,-54.167059999990,4.487,4.485,4.539,4.520,4.564,4.483,4.472,4.412,4.487,4.516,4.540,4.505
2,AGUDO,0,0,0,19,1,0,1,0,3,0,3,1,0,0,0,Água Santa,4300059,-28.167200000000,-52.030999999990,3.801,3.789,3.858,3.898,3.959,3.922,3.977,4.013,4.057,4.107,4.093,4.256
3,AJURICABA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Agudo,4300109,-29.644700000000,-53.251500000000,17.057,16.791,16.731,16.838,16.851,16.701,16.595,16.475,16.537,16.556,16.760,16.612
4,ALECRIM,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,Ajuricaba,4300208,-28.234200000000,-53.775700000000,7.399,7.466,7.389,7.431,7.299,7.241,7.279,7.325,7.546,7.485,7.584,7.447
5,ALEGRETE,1,1,0,96,8,3,5,0,61,3,5,6,0,0,1,Alecrim,4300307,-27.657900000000,-54.764899999990,7.176,7.092,7.074,6.891,6.814,6.598,6.594,6.569,6.513,6.435,6.301,6.403
6,ALEGRIA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Alegrete,4300406,-29.790199999990,-55.794899999990,79.245,77.956,76.251,75.192,74.229,73.845,72.900,72.524,72.516,72.376,72.072,72.085
7,ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alegria,4300455,-27.834499999990,-54.055700000000,4.387,4.354,4.296,4.293,4.198,4.113,4.122,4.137,4.231,4.227,4.247,4.219
8,ALPESTRE,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,Almirante Tamandaré do Sul,4300471,-28.108599999990,-52.911900000000,2.105,2.011,1.981,1.981,2.003,2.031,2.048,2.085,2.083,2.072,2.052,2.074
9,ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpestre,4300505,-27.250200000000,-53.034100000000,8.187,7.974,7.784,7.556,7.454,7.341,7.355,7.362,7.406,7.311,7.318,7.216
10,ALTO FELIZ,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,Alto Alegre,4300554,-28.776900000000,-52.989199999990,1.887,1.871,1.885,1.886,1.878,1.850,1.856,1.866,1.869,1.856,1.899,1.914
11,ALVORADA,5,6,0,142,2,30,146,15,120,15,15,34,0,0,6,Alto Feliz,4300570,-29.391900000000,-51.312300000000,2.970,3.000,2.993,2.963,2.974,3.043,3.123,3.191,3.245,3.209,3.263,3.225
12,AMARAL FERRADOR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Alvorada,4300604,-29.991399999990,-51.080900000000,200.051,202.454,205.660,208.464,210.438,211.417,212.721,213.396,212.901,211.533,210.275,209.157
13,AMETISTA DO SUL,0,0,0,2,0,1,0,0,5,0,2,1,0,0,0,Amaral Ferrador,4300638,-30.875599999990,-52.250999999990,6.493,6.456,6.349,6.303,6.302,6.347,6.370,6.300,6.330,6.364,6.428,6.439
