municipios;ibge;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
acegua;4300034;0.0;0.0;0.0;443.9511653718091;177.58046614872364;0.0;66.59267480577137;0.0;599.3340732519423;88.79023307436182;66.59267480577137;0.0;0.0;0.0;0.0
agua santa;4300059;23.496240601503757;23.496240601503757;0.0;469.92481203007515;70.48872180451127;93.98496240601503;23.496240601503757;0.0;305.45112781954884;46.992481203007515;0.0;0.0;0.0;0.0;46.992481203007515
agudo;4300109;6.019744762822056;6.019744762822056;0.0;614.0139658078497;12.039489525644113;12.039489525644113;18.05923428846617;6.019744762822056;307.00698290392484;18.05923428846617;42.138213339754394;60.197447628220566;0.0;0.0;6.019744762822056
ajuricaba;4300208;0.0;0.0;0.0;349.13387941452936;13.428226131328051;0.0;13.428226131328051;0.0;375.99033167718545;26.856452262656102;40.28467839398415;0.0;0.0;0.0;0.0
alecrim;4300307;15.617679212868968;15.617679212868968;0.0;562.2364516632828;156.17679212868967;0.0;31.235358425737935;0.0;265.50054661877243;156.17679212868967;0.0;62.47071685147587;0.0;0.0;15.617679212868968
alegrete;4300406;18.034265103697024;18.034265103697024;0.0;1220.7810224041064;124.85260456405632;22.19601858916557;90.17132551848512;0.0;643.6845390858015;44.39203717833114;112.36734410765068;70.74980925296525;0.0;0.0;20.808767427342723
alegria;4300455;0.0;0.0;0.0;426.64138421426884;47.40459824602986;23.70229912301493;23.70229912301493;0.0;213.32069210713442;71.1068973690448;0.0;23.70229912301493;0.0;0.0;0.0
almirante tamandare do sul;4300471;0.0;0.0;0.0;1012.5361620057859;48.216007714561236;48.216007714561236;48.216007714561236;0.0;530.3760848601736;96.43201542912247;0.0;0.0;0.0;0.0;0.0
alpestre;4300505;27.716186252771617;27.716186252771617;0.0;803.7694013303769;263.3037694013304;13.858093126385809;13.858093126385809;0.0;180.15521064301552;207.87139689578711;124.72283813747228;13.858093126385809;0.0;0.0;27.716186252771617
alto alegre;4300554;0.0;0.0;0.0;365.7262277951933;104.49320794148382;0.0;0.0;0.0;52.24660397074191;0.0;0.0;0.0;0.0;0.0;0.0
alto feliz;4300570;0.0;0.0;0.0;651.1627906976745;31.007751937984498;0.0;31.007751937984498;0.0;589.1472868217054;93.0232558139535;93.0232558139535;0.0;0.0;0.0;31.007751937984498
alvorada;4300604;24.861706756168807;26.29603599210163;0.0;748.71986115693;8.605975415596896;78.88810797630488;687.0437040118188;94.66572957156586;726.2487031273158;44.464206313917295;155.863776971366;186.94091041657703;0.0;0.0;28.686584718656324
amaral ferrador;4300638;0.0;0.0;0.0;326.1375990060568;62.121447429725116;31.060723714862558;0.0;0.0;93.18217114458767;31.060723714862558;0.0;0.0;0.0;0.0;0.0
ametista do sul;4300646;13.03780964797914;13.03780964797914;0.0;1069.1003911342893;65.1890482398957;78.22685788787483;13.03780964797914;0.0;508.4745762711864;39.113428943937414;143.41590612777054;52.15123859191656;0.0;0.0;13.03780964797914
andre da rocha;4300661;0.0;0.0;0.0;884.2443729903537;241.15755627009648;80.38585209003216;0.0;0.0;562.7009646302251;80.38585209003216;80.38585209003216;0.0;0.0;0.0;0.0
anta gorda;4300703;14.738393515106853;14.738393515106853;0.0;442.1518054532056;0.0;29.476787030213707;14.738393515106853;0.0;88.43036109064111;29.476787030213707;117.90714812085483;14.738393515106853;0.0;0.0;14.738393515106853
antonio prado;4300802;0.0;0.0;0.0;490.26890506611204;37.1415837171297;66.85485069083346;37.1415837171297;22.28495023027782;661.1201901649086;22.28495023027782;126.28138463824097;126.28138463824097;0.0;0.0;7.42831674342594
arambare;4300851;0.0;0.0;0.0;1556.1224489795918;306.1224489795918;51.02040816326531;76.53061224489795;25.510204081632654;790.8163265306122;102.04081632653062;484.6938775510204;127.55102040816325;0.0;0.0;0.0
ararica;4300877;16.157699143641945;16.157699143641945;0.0;1308.7736306349975;96.94619486185168;48.47309743092584;48.47309743092584;16.157699143641945;727.0964614638876;32.31539828728389;452.4155760219745;161.57699143641946;0.0;0.0;16.157699143641945
aratiba;4300901;0.0;0.0;0.0;369.60378474275575;0.0;14.784151389710232;0.0;0.0;280.8988764044944;44.352454169130695;14.784151389710232;0.0;0.0;0.0;0.0
arroio do meio;4301008;8.645657718410927;8.645657718410927;0.0;695.9754463320797;0.0;43.228288592054646;38.905459732849174;8.645657718410927;726.235248346518;38.905459732849174;298.275191285177;73.48809060649289;0.0;0.0;8.645657718410927
arroio do padre;4301073;0.0;0.0;0.0;406.9175991861648;101.7293997965412;0.0;33.909799932180405;0.0;339.097999321804;33.909799932180405;0.0;0.0;0.0;0.0;0.0
